nevent	100
threshold	10000
load	20
frequency	0
sleep	0
Processor Clock Rate ~= 2.3941 GHz (extracted from file)
Processor Clock Rate ~= 2.3941 GHz (extracted from file)
Processor Clock Rate ~= 2.3941 GHz (extracted from file)
Processor Clock Rate ~= 2.3941 GHz (extracted from file)
A0 	Time 0 	(0.00 ms), 	Duration  4158487 	(1.737000 ms)
I0 	Time 4158487 	(1.74 ms), 	Duration    11970 	(0.005000 ms)
A1 	Time 4170458 	(1.74 ms), 	Duration  2384487 	(0.996000 ms)
I1 	Time 6554944 	(2.74 ms), 	Duration    11970 	(0.005000 ms)
A2 	Time 6566915 	(2.74 ms), 	Duration  2379699 	(0.994000 ms)
I2 	Time 8946613 	(3.74 ms), 	Duration    11970 	(0.005000 ms)
A3 	Time 8958584 	(3.74 ms), 	Duration  2384487 	(0.996000 ms)
I3 	Time 11343070 	(4.74 ms), 	Duration    11970 	(0.005000 ms)
A4 	Time 11355041 	(4.74 ms), 	Duration  2382093 	(0.995000 ms)
I4 	Time 13737133 	(5.74 ms), 	Duration    11970 	(0.005000 ms)
A5 	Time 13749104 	(5.74 ms), 	Duration  4776156 	(1.995000 ms)
I5 	Time 18525259 	(7.74 ms), 	Duration    11970 	(0.005000 ms)
A6 	Time 18537230 	(7.74 ms), 	Duration  4776156 	(1.995000 ms)
I6 	Time 23313385 	(9.74 ms), 	Duration    11970 	(0.005000 ms)
A7 	Time 23325356 	(9.74 ms), 	Duration  2382093 	(0.995000 ms)
I7 	Time 25707448 	(10.74 ms), 	Duration    11970 	(0.005000 ms)
A8 	Time 25719419 	(10.74 ms), 	Duration  2379699 	(0.994000 ms)
I8 	Time 28099117 	(11.74 ms), 	Duration    11970 	(0.005000 ms)
A9 	Time 28111088 	(11.74 ms), 	Duration  2384487 	(0.996000 ms)
I9 	Time 30495574 	(12.74 ms), 	Duration    11970 	(0.005000 ms)
A10 	Time 30507545 	(12.74 ms), 	Duration  2382093 	(0.995000 ms)
I10 	Time 32889637 	(13.74 ms), 	Duration    11970 	(0.005000 ms)
A11 	Time 32901608 	(13.74 ms), 	Duration  2382093 	(0.995000 ms)
I11 	Time 35283700 	(14.74 ms), 	Duration    11970 	(0.005000 ms)
A12 	Time 35295671 	(14.74 ms), 	Duration   564999 	(0.236000 ms)
I12 	Time 35860670 	(14.98 ms), 	Duration    88580 	(0.037000 ms)
A13 	Time 35949250 	(15.02 ms), 	Duration  1728513 	(0.722000 ms)
I13 	Time 37677763 	(15.74 ms), 	Duration    11970 	(0.005000 ms)
A14 	Time 37689734 	(15.74 ms), 	Duration  2382093 	(0.995000 ms)
I14 	Time 40071826 	(16.74 ms), 	Duration    11970 	(0.005000 ms)
A15 	Time 40083797 	(16.74 ms), 	Duration  2382093 	(0.995000 ms)
I15 	Time 42465889 	(17.74 ms), 	Duration    11970 	(0.005000 ms)
A16 	Time 42477860 	(17.74 ms), 	Duration  2382093 	(0.995000 ms)
I16 	Time 44859952 	(18.74 ms), 	Duration    11970 	(0.005000 ms)
A17 	Time 44871923 	(18.74 ms), 	Duration  4776156 	(1.995000 ms)
I17 	Time 49648078 	(20.74 ms), 	Duration    11970 	(0.005000 ms)
A18 	Time 49660049 	(20.74 ms), 	Duration  2382093 	(0.995000 ms)
I18 	Time 52042141 	(21.74 ms), 	Duration    11970 	(0.005000 ms)
A19 	Time 52054112 	(21.74 ms), 	Duration  2384487 	(0.996000 ms)
I19 	Time 54438599 	(22.74 ms), 	Duration    11970 	(0.005000 ms)
A20 	Time 54450569 	(22.74 ms), 	Duration  2379699 	(0.994000 ms)
I20 	Time 56830267 	(23.74 ms), 	Duration    11970 	(0.005000 ms)
A21 	Time 56842238 	(23.74 ms), 	Duration  4776156 	(1.995000 ms)
I21 	Time 61618393 	(25.74 ms), 	Duration    11970 	(0.005000 ms)
A22 	Time 61630364 	(25.74 ms), 	Duration  2382093 	(0.995000 ms)
I22 	Time 64012456 	(26.74 ms), 	Duration    11970 	(0.005000 ms)
A23 	Time 64024427 	(26.74 ms), 	Duration  2384487 	(0.996000 ms)
I23 	Time 66408914 	(27.74 ms), 	Duration    11970 	(0.005000 ms)
A24 	Time 66420884 	(27.74 ms), 	Duration  2379699 	(0.994000 ms)
I24 	Time 68800582 	(28.74 ms), 	Duration    11970 	(0.005000 ms)
A25 	Time 68812553 	(28.74 ms), 	Duration  2384487 	(0.996000 ms)
I25 	Time 71197040 	(29.74 ms), 	Duration    11970 	(0.005000 ms)
A26 	Time 71209010 	(29.74 ms), 	Duration  2382093 	(0.995000 ms)
I26 	Time 73591103 	(30.74 ms), 	Duration    11970 	(0.005000 ms)
A27 	Time 73603073 	(30.74 ms), 	Duration  4776156 	(1.995000 ms)
I27 	Time 78379229 	(32.74 ms), 	Duration    11970 	(0.005000 ms)
A28 	Time 78391199 	(32.74 ms), 	Duration  4773762 	(1.994000 ms)
I28 	Time 83164960 	(34.74 ms), 	Duration    11970 	(0.005000 ms)
A29 	Time 83176931 	(34.74 ms), 	Duration  2384487 	(0.996000 ms)
I29 	Time 85561418 	(35.74 ms), 	Duration    11970 	(0.005000 ms)
A30 	Time 85573388 	(35.74 ms), 	Duration  4776156 	(1.995000 ms)
I30 	Time 90349544 	(37.74 ms), 	Duration    11970 	(0.005000 ms)
A31 	Time 90361514 	(37.74 ms), 	Duration  2382093 	(0.995000 ms)
I31 	Time 92743607 	(38.74 ms), 	Duration    11970 	(0.005000 ms)
A32 	Time 92755577 	(38.74 ms), 	Duration  4776156 	(1.995000 ms)
I32 	Time 97531733 	(40.74 ms), 	Duration    11970 	(0.005000 ms)
A33 	Time 97543703 	(40.74 ms), 	Duration  2382093 	(0.995000 ms)
I33 	Time 99925796 	(41.74 ms), 	Duration    11970 	(0.005000 ms)
A34 	Time 99937766 	(41.74 ms), 	Duration  2382093 	(0.995000 ms)
I34 	Time 102319859 	(42.74 ms), 	Duration    11970 	(0.005000 ms)
A35 	Time 102331829 	(42.74 ms), 	Duration  2382093 	(0.995000 ms)
I35 	Time 104713922 	(43.74 ms), 	Duration    11970 	(0.005000 ms)
A36 	Time 104725892 	(43.74 ms), 	Duration  2382093 	(0.995000 ms)
I36 	Time 107107985 	(44.74 ms), 	Duration    11970 	(0.005000 ms)
A37 	Time 107119955 	(44.74 ms), 	Duration  4776156 	(1.995000 ms)
I37 	Time 111896111 	(46.74 ms), 	Duration    11970 	(0.005000 ms)
A38 	Time 111908081 	(46.74 ms), 	Duration  2382093 	(0.995000 ms)
