Clock frequency is approx. 2100.0 MHz
Memory mountain (MB/sec)
        s1      s2      s3      s4      s5      s6      s7      s8      s9      s10     s11     s12     s13     s14     s15
128m    6590.2  4326.7  3059.0  2253.1  1794.7  1503.0  1289.4  1125.3  1036.4  964.3   908.6   865.3   835.0   809.4   792.4
64m     6577.3  4298.6  3050.0  2240.5  1785.3  1495.7  1285.4  1120.3  1033.2  959.9   904.4   861.3   828.5   804.2   785.7
32m     6583.5  4311.4  3052.2  2246.1  1787.6  1500.7  1289.5  1124.3  1032.4  961.1   906.8   862.6   827.7   809.3   784.1
16m     6589.2  4346.3  3090.2  2269.1  1808.1  1514.8  1300.9  1137.4  1045.3  972.3   919.0   876.7   847.5   823.1   808.5
8m      6891.0  4825.4  3550.2  2665.8  2131.5  1774.5  1520.8  1333.7  1232.6  1163.5  1116.3  1080.5  1400.9  1362.2  1387.6
4m      7189.6  5725.2  4889.5  4091.7  3417.4  2923.0  2543.8  2242.5  2147.7  2084.0  2030.4  1998.7  1974.3  1969.8  1964.7
2m      7695.0  6819.9  5267.1  4349.3  3626.9  3074.1  2669.8  2357.6  2259.3  2203.4  2152.4  2121.6  2104.5  2086.3  2081.4
1024k   7769.6  7027.7  5387.1  4373.2  3627.4  3082.0  2666.3  2354.8  2270.8  2201.7  2155.5  2120.4  2106.2  2087.9  2077.7
512k    7774.5  7006.4  5404.5  4361.7  3617.0  3082.7  2660.5  2354.8  2282.6  2230.2  2188.2  2204.0  2209.2  2217.5  2258.6
256k    7781.5  7264.7  5944.1  5109.9  4408.7  3787.5  3265.8  2915.2  2840.7  2858.2  2920.3  3100.5  3152.5  3294.8  3620.0
128k    7787.6  7507.4  7251.2  7042.6  6669.4  6104.4  5374.6  4744.4  4801.7  4791.9  4786.1  4841.9  4844.9  4758.0  4779.8
64k     7791.7  7411.2  7242.6  6853.9  6364.1  6132.7  5429.5  4655.8  4785.6  4733.8  4776.5  4736.9  4753.5  4832.9  6701.9
32k     7959.8  7927.7  7930.9  7724.8  7836.7  7733.0  7770.8  7605.3  7744.7  7703.9  7682.8  7407.0  7411.8  7445.5  7338.2
16k     8018.3  7935.1  7733.0  7605.3  7413.4  7359.4  7502.3  7228.2  7064.7  7445.5  7155.4  7220.4  6837.2  7269.2  7211.3

