             Unroll
 +-----------------------------------------------------------------------+
 | SS |  1     2     3     4     5     6     7     8     9     10    12  |
 |    +------------------------------------------------------------------+
 | 1  |  5.01  5.01  5.01  5.01  5.01  5.01  5.01  5.01  5.01  5.01      |
 | 2  |        2.51        2.51                    2.51                  |
 | 3  |              1.67                                                |
 | 4  |                    1.25                    1.25                  |
 | 5  |                          1.00                                    |
 | 6  |                                0.86                          0.85|
 | 7  |                                      0.75                        |
 | 8  |                                            0.66                  |
 | 9  |                                                  0.59            |
 | 10 |                                                        0.54      |
 | 12 |                                                              0.52|
 +-----------------------------------------------------------------------+
