             Unroll
 +-----------------------------------------------------------------------+
 | SS |  1     2     3     4     5     6     7     8     9     10    12  |
 |    +------------------------------------------------------------------+
 | 1  |  1.26  1.22  1.22  1.22  1.22  1.22  1.22  1.22  1.20  1.20      |
 | 2  |        0.59        0.59                    0.58                  |
 | 3  |              0.39                                                |
 | 4  |                    0.32                    0.30                  |
 | 5  |                          0.24                                    |
 | 6  |                                0.22                          0.21|
 | 7  |                                      0.20                        |
 | 8  |                                            0.20                  |
 | 9  |                                                  0.20            |
 | 10 |                                                        0.20      |
 | 12 |                                                              0.21|
 +-----------------------------------------------------------------------+
