             Unroll
 +-----------------------------------------------------------------------+
 | SS |  1     2     3     4     5     6     7     8     9     10    12  |
 |    +------------------------------------------------------------------+
 | 1  | 11.02  8.02 11.03  8.02  8.62  8.02  8.45  8.02  8.35  8.02      |
 | 2  |        5.52        5.51                    5.51                  |
 | 3  |              3.80                                                |
 | 4  |                    3.29                    3.06                  |
 | 5  |                          2.95                                    |
 | 6  |                                2.93                          2.75|
 | 7  |                                      2.91                        |
 | 8  |                                            2.91                  |
 | 9  |                                                  2.93            |
 | 10 |                                                        2.79      |
 | 12 |                                                              2.60|
 +-----------------------------------------------------------------------+
