             Unroll
 +-----------------------------------------------------------------------+
 | SS |  1     2     3     4     5     6     7     8     9     10    12  |
 |    +------------------------------------------------------------------+
 | 1  |  5.01  5.01  5.01  5.01  5.01  5.01  5.01  5.01  5.01  5.01      |
 | 2  |        2.51        2.51                    2.51                  |
 | 3  |              1.67                                                |
 | 4  |                    1.26                    1.26                  |
 | 5  |                          1.01                                    |
 | 6  |                                0.85                          0.88|
 | 7  |                                      0.73                        |
 | 8  |                                            0.63                  |
 | 9  |                                                  0.56            |
 | 10 |                                                        0.52      |
 | 12 |                                                              0.52|
 +-----------------------------------------------------------------------+
