Processor Clock Rate ~= 2.1000 GHz (extracted from file)
Length	lower1	lower2
20000	0.382543	0.000038
40000	1.528979	0.000077
60000	3.439478	0.000115
80000	6.113716	0.000153
100000	9.552494	0.000191
120000	13.756126	0.000229
140000	18.722488	0.000267
160000	24.453346	0.000306
180000	30.946626	0.000344
200000	38.204649	0.000382
220000	46.228936	0.000420
240000	55.014655	0.000458
260000	64.566266	0.000497
280000	74.881438	0.000535
300000	85.961447	0.000573
320000	97.807920	0.000611
340000	110.414259	0.000649
360000	123.787334	0.000687
380000	137.920115	0.000726
400000	152.819939	0.000764
420000	168.482702	0.000802
440000	184.916250	0.000840
460000	202.108042	0.000878
480000	220.063114	0.000917
500000	238.784730	0.000955
