             Unroll
 +-----------------------------------------------------------------------+
 | SS |  1     2     3     4     5     6     7     8     9     10    12  |
 |    +------------------------------------------------------------------+
 | 1  |  3.01  3.01  3.01  3.01  3.01  3.01  3.01  3.01  3.01  3.01      |
 | 2  |        1.50        1.50                    1.50                  |
 | 3  |              1.00                                                |
 | 4  |                    1.01                    1.01                  |
 | 5  |                          1.01                                    |
 | 6  |                                1.01                          1.01|
 | 7  |                                      1.01                        |
 | 8  |                                            1.01                  |
 | 9  |                                                  1.01            |
 | 10 |                                                        1.01      |
 | 12 |                                                              1.01|
 +-----------------------------------------------------------------------+
