             Unroll
 +-----------------------------------------------------------------------+
 | SS |  1     2     3     4     5     6     7     8     9     10    12  |
 |    +------------------------------------------------------------------+
 | 1  |  1.27  1.01  1.01  1.01  1.01  1.01  1.01  1.01  1.01  1.01      |
 | 2  |        0.81        0.69                    0.62                  |
 | 3  |              0.74                                                |
 | 4  |                    0.70                    0.63                  |
 | 5  |                          0.68                                    |
 | 6  |                                0.65                          0.64|
 | 7  |                                      0.65                        |
 | 8  |                                            0.63                  |
 | 9  |                                                  0.62            |
 | 10 |                                                        0.62      |
 | 12 |                                                              0.65|
 +-----------------------------------------------------------------------+
