             Unroll
 +-----------------------------------------------------------------------+
 | SS |  1     2     3     4     5     6     7     8     9     10    12  |
 |    +------------------------------------------------------------------+
 | 1  |  1.39  1.34  1.34  1.34  1.34  1.34  1.34  1.30  1.29  1.29      |
 | 2  |        0.64        0.64                    0.62                  |
 | 3  |              0.42                                                |
 | 4  |                    0.42                    0.41                  |
 | 5  |                          0.41                                    |
 | 6  |                                0.42                          0.40|
 | 7  |                                      0.42                        |
 | 8  |                                            0.42                  |
 | 9  |                                                  0.42            |
 | 10 |                                                        0.40      |
 | 12 |                                                              0.40|
 +-----------------------------------------------------------------------+
