             Unroll
 +-----------------------------------------------------------------------+
 | SS |  1     2     3     4     5     6     7     8     9     10    12  |
 |    +------------------------------------------------------------------+
 | 1  | 11.02  8.02 11.02  8.02  8.62  8.02  8.45  8.02  8.35  8.02      |
 | 2  |        5.51        5.51                    5.51                  |
 | 3  |              3.80                                                |
 | 4  |                    3.29                    3.06                  |
 | 5  |                          2.95                                    |
 | 6  |                                2.94                          2.75|
 | 7  |                                      2.90                        |
 | 8  |                                            2.88                  |
 | 9  |                                                  2.92            |
 | 10 |                                                        2.76      |
 | 12 |                                                              2.57|
 +-----------------------------------------------------------------------+
