             Unroll
 +-----------------------------------------------------------------------+
 | SS |  1     2     3     4     5     6     7     8     9     10    12  |
 |    +------------------------------------------------------------------+
 | 1  |  9.02  6.02  9.02  6.01  6.62  6.02  6.45  6.02  6.35  6.01      |
 | 2  |        5.09        4.51                    4.52                  |
 | 3  |              3.78                                                |
 | 4  |                    3.14                    2.96                  |
 | 5  |                          2.86                                    |
 | 6  |                                2.95                          2.67|
 | 7  |                                      2.88                        |
 | 8  |                                            2.89                  |
 | 9  |                                                  2.89            |
 | 10 |                                                        2.70      |
 | 12 |                                                              2.54|
 +-----------------------------------------------------------------------+
