Clock frequency is approx. 2100.0 MHz
Memory mountain (MB/sec)
	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	
128m	8132	4664	3051	2255	1793	1495	1277	1119	1043	982	933	889	863	840	828	
64m	8116	4652	3030	2247	1791	1490	1274	1113	1036	973	922	877	851	828	817	
32m	8158	4700	3037	2248	1796	1491	1272	1112	1036	972	922	875	851	832	827	
16m	8273	4901	3161	2345	1868	1565	1347	1181	1115	1054	1013	979	971	980	1007	
8m	9156	5832	4024	3025	2470	2107	1833	1630	1559	1494	1484	1456	1511	1578	1637	
4m	10447	7889	5755	4415	3603	3059	2667	2365	2271	2187	2125	2082	2055	2033	2027	
2m	11984	8238	5942	4570	3731	3178	2761	2446	2349	2273	2212	2162	2131	2114	2098	
1024k	12234	8423	5939	4568	3738	3177	2767	2445	2347	2273	2211	2162	2136	2111	2099	
512k	12217	8380	5965	4569	3723	3172	2757	2445	2347	2266	2217	2160	2130	2107	2107	
256k	12419	10014	8448	6972	5708	4868	4201	3736	3693	3678	3665	3786	3927	3876	4221	
128k	12547	10873	10333	8854	7519	6449	5559	4926	4933	4915	4898	4924	4912	4961	4906	
64k	12465	10940	10417	8715	7531	6475	5513	4838	4825	4883	4908	4868	4975	6371	9688	
32k	14244	13902	13759	13653	13207	12988	13037	13033	12847	12373	12120	12303	12540	11645	11132	
16k	14420	13930	13524	13233	12716	12303	12224	11561	10706	10058	10493	13395	11118	12347	9064	
