Clock frequency is approx. 2100.0 MHz
Memory mountain (MB/sec)
	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	
128m	8392	4738	3085	2281	1813	1511	1291	1131	1053	991	942	897	870	847	833	
64m	8378	4727	3067	2271	1810	1505	1284	1125	1045	982	931	886	858	835	821	
32m	8410	4762	3081	2276	1812	1509	1288	1125	1045	979	930	886	858	844	837	
16m	8633	5001	3202	2368	1885	1578	1359	1195	1123	1067	1025	984	982	983	1012	
8m	9433	5854	4031	3030	2475	2118	1852	1637	1563	1508	1475	1453	1531	1597	1693	
4m	10416	7954	5693	4379	3560	3023	2634	2340	2248	2170	2110	2062	2037	2021	2028	
2m	12357	8222	5903	4569	3729	3179	2763	2445	2349	2275	2213	2167	2137	2109	2095	
1024k	12764	8413	5949	4578	3732	3168	2760	2441	2345	2270	2216	2157	2133	2114	2098	
512k	12738	8409	5948	4581	3720	3182	2761	2447	2338	2270	2209	2159	2131	2118	2129	
256k	13059	9496	7875	6345	5207	4437	3916	3438	3518	3544	3694	3679	3897	4044	4284	
128k	13324	10538	10576	8992	7566	6409	5587	4930	4937	4937	4907	4983	4981	4948	4913	
64k	13219	10541	10474	8881	7580	6207	5574	4811	4885	4868	4927	4827	4917	6060	9587	
32k	15144	14914	14317	14265	13943	13062	13393	13653	12429	13333	13278	11219	12250	10872	11269	
16k	15450	14043	14628	13874	13463	12545	12074	11259	10414	12373	14278	11558	12971	9168	9064	
