Clock frequency is approx. 2100.0 MHz
Memory mountain (MB/sec)
	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	
128m	7735	4699	3104	2285	1815	1509	1291	1127	1051	990	940	896	869	847	832	
64m	7729	4682	3091	2275	1812	1502	1286	1122	1043	981	929	884	858	834	821	
32m	7749	4722	3090	2281	1814	1510	1289	1123	1043	980	931	882	858	839	831	
16m	7829	4932	3235	2378	1887	1578	1355	1189	1116	1063	1024	986	980	977	1006	
8m	8374	5670	4045	3041	2464	2102	1822	1625	1556	1505	1469	1447	1485	1540	1681	
4m	9239	6761	5477	4326	3532	3014	2619	2329	2234	2164	2105	2059	2030	2020	2021	
2m	10211	7521	5799	4527	3688	3139	2737	2430	2333	2256	2195	2149	2119	2098	2087	
1024k	10373	7717	5825	4546	3707	3139	2732	2427	2328	2252	2198	2148	2124	2099	2086	
512k	10348	7733	5828	4537	3690	3137	2732	2416	2323	2258	2192	2151	2129	2115	2133	
256k	10425	8498	7595	6722	5924	5193	4625	4079	4162	4325	4492	4599	4818	4848	4887	
128k	10480	8620	8102	7431	6606	6001	5320	4728	4840	4893	4832	4857	4867	4816	4824	
64k	10365	8655	8078	7394	6583	6405	5574	4878	4924	4945	4860	4909	5769	6433	8848	
32k	11054	10806	10678	10574	10277	10185	10010	10025	9940	9970	9548	9173	9966	8400	9635	
16k	10871	10902	10276	10264	10117	9247	8918	9621	9876	10487	9390	9460	7309	7850	8103	
