Clock frequency is approx. 2100.0 MHz
Memory mountain (MB/sec)
        s1      s2      s3      s4      s5      s6      s7      s8      s9      s10     s11     s12     s13     s14     s15
128m    8350    4750    3096    2286    1817    1512    1293    1131    1055    995     945     900     874     852     839
64m     8352    4750    3092    2287    1816    1510    1291    1129    1051    989     938     894     867     844     833
32m     8406    4787    3098    2289    1823    1512    1295    1133    1052    989     938     892     868     851     848
16m     8556    4990    3204    2376    1891    1579    1356    1198    1127    1070    1028    994     987     992     1026
8m      8998    5447    3570    2643    2104    1743    1477    1300    1217    1158    1128    1096    1105    1139    1216
4m      11494   7921    5664    4319    3524    2991    2592    2298    2208    2148    2117    2077    2079    2053    2085
2m      12297   8417    5940    4573    3734    3174    2763    2446    2349    2272    2213    2160    2136    2111    2099
1024k   12422   8398    5971    4569    3740    3172    2756    2446    2351    2271    2209    2162    2136    2113    2101
512k    12432   8472    5950    4573    3726    3165    2758    2447    2341    2267    2210    2162    2135    2125    2128
256k    12564   10037   8679    7175    5915    5022    4345    3856    3895    3981    4001    4404    4329    4434    4805
128k    12711   10750   10271   8649    7525    6374    5482    4854    4901    4933    4917    4924    4924    4936    4939
64k     12687   10689   10208   8768    7570    6352    5460    4830    4885    4885    4823    4868    4928    5745    9577
32k     14101   13686   13524   13092   13144   12771   12783   12466   12230   12716   12238   12409   11236   11927   12006
16k     13958   13986   13366   13033   12835   12409   11784   10833   10414   11543   10857   10129   10061   9168    12811
