Clock frequency is approx. 2100.0 MHz
Memory mountain (MB/sec)
	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	
128m	7693.1	4649.5	3090.1	2293.7	1829.3	1512.4	1280.6	1109.1	1036.7	979.7	933.9	895.0	869.1	847.2	831.6	
64m	7681.1	4651.3	3086.5	2293.2	1829.4	1512.0	1280.9	1106.6	1034.7	978.7	932.1	892.5	866.0	843.1	829.5	
32m	7702.3	4694.5	3107.0	2304.5	1832.8	1517.8	1282.4	1112.7	1038.1	979.4	933.8	896.0	871.0	848.7	844.3	
16m	7824.6	4854.1	3254.7	2412.3	1917.2	1590.8	1354.7	1186.7	1122.7	1071.9	1036.9	1002.9	997.4	994.9	1031.0	
8m	8079.8	5517.0	3997.7	3078.4	2503.5	2127.1	1841.8	1625.1	1554.5	1499.5	1474.6	1454.4	1460.8	1474.2	1669.3	
4m	8495.1	6357.9	5381.6	4275.6	3500.5	2977.3	2566.5	2275.2	2175.1	2105.0	2066.9	2012.9	1987.6	1961.0	1986.2	
2m	9448.0	7455.8	5729.9	4516.0	3693.0	3129.6	2713.7	2393.6	2304.8	2229.2	2169.9	2122.5	2094.8	2074.4	2059.6	
1024k	9578.1	7675.0	5799.5	4536.0	3692.2	3125.7	2713.3	2395.6	2302.6	2225.3	2168.4	2122.2	2091.2	2067.1	2053.8	
512k	9578.3	7724.2	5908.0	4658.2	3812.7	3225.2	2796.8	2464.6	2377.9	2290.5	2238.0	2186.3	2164.9	2144.1	2149.3	
256k	9589.5	8555.9	7118.8	6189.3	5157.3	4379.2	3807.6	3364.1	3355.6	3412.9	3494.8	3551.8	3653.2	3989.9	4225.6	
128k	9624.2	9282.7	8936.3	8204.7	7297.1	6418.7	5452.1	4885.2	4882.2	4867.3	4936.2	4888.4	4872.8	4929.8	4906.4	
64k	9598.0	9362.3	8893.9	8326.8	7330.1	6299.4	5467.2	4777.3	4861.7	4833.6	4804.0	4888.4	4785.8	4905.2	7703.5	
32k	10104.7	10095.8	9882.0	10054.5	9766.7	9793.4	9665.8	9686.5	9750.0	9758.3	9547.8	9322.0	9433.2	9523.3	9154.5	
16k	10155.4	9996.0	9718.7	9686.5	9758.3	9398.4	9431.9	9515.0	8647.1	9124.1	9251.2	9014.2	8732.7	8531.2	8556.7	
